engine_id,case_id,requested_style,duration_sec,generation_sec,generation_rtf,stt_transcript,cer,expected_reading,pronunciation_result,retry_used,human_review_required,silence_ratio,rms_dbfs,estimated_f0_hz,anomaly_flags,error
aivis,l01,neutral,186.900045,123.192978,0.659138,本性合成システムを自治運用へ導入する際は、モデルの品質だけでなく、入力処理、再電性、監視、障害対応までを一つの流れとして設計する必要があります。まず、現行を保存する形式を決めます。天文、読み、和射、スタイル、生成時刻、モデルの識別詞を記録すると、後から同じ音声を作り直しやすくなります。漢字の読みが文明で変わる日本語では、TTSへ渡す前に、辞書や携帯素解析を使い、必要なら発話用のかな電光を別に用意します。天文を変更せず、ローインプットとエフェクティブインプットを分けて保存することが重要です。次に、音声ファイルの形式を統一します。サンプリング周波数、チャンネル数、ビット進度、モーンの扱いを固定し、個存前に検査します。長い文章では、途中切断、同じ区の反復、極端なモーン、音量の崩れ、速度の急変が起きることがあるため、波形等、区間ごとの特徴量を自動的に確認します。停止りと期間は、リアルタイム性の指標ではなく、バッチ処理の容量計画に使います。例えば1時間分の現行を夜会に処理するなら平均の実時間費と失敗率から必要な並列数を見積もれますただしGPUメモリが足りない状態で並列化すると帰って再指向が増えますまず1つのジョブを安定させPEAK VLAMとPEAK LAMを図ってから同時実コースを増やします評価は生成音声をローカルSTTへ戻すラウンドトリップだけで完了させてはいけませんレスティティは文明を補正して、誤った発音でも正しい感じを出す可能性がありますそのため、ヒラガナマタは、音符を出力する、ミンシキキ、音符バラインメント、レンジンが返す、読み情報などを組み合わせ、根拠の種類を明記します評価機動士が立ちしない場合は、人間の確認が必要です前典市長は避け、機械判定が不安定な代表例立てを、Human Reviewへ回します表現力については、Neutral、Chiaful、Sat、Amry、Karm、Energetic、Whisperを襲うとSlow Explanatory、Fast Excitedという共通意と各エンジンの和者、スタイル、速度、音量、欲用、自然連合指示へ対応を付けます完全に同じ表現にはならないため、どのパラメータへ変換したかを保存します自然差の推定器を使う場合も、 推定MOSを人間のMOSと混動せず、モデル名頭、バージョンを記録します。最後に、ダイセンスをコード、モデル、 生成音声に分けて確認します。公開リポジトリには、モデル本体、 巨大キャッシュ、全量音声を入れず、取得元、固定バージョン、ハッシュ、 利用条件、必要なクレジットだけを残します。これらを守ることで、品質を比較できるだけでなく、バトから結果を再現し、問題が起きた時に原因を追跡できるベンチマークになります,0.169565,,対象外,False,False,0.027391,-18.497,150.0,,
voicevox,n01,neutral,8.810667,1.448499,0.164403,今日は少しくもが多いものの、午後には晴れ間が広がる見込みです。外出するなら、折り畳み重さがあると安心でしょう。,0.111111,,対象外,False,False,0.154195,-22.809,325.0,,
voicevox,n02,calm,10.581333,1.711527,0.16175,静かな部屋で本を開くと遠くから時計の音だけが聞こえてきました 急ぐ必要はありませんゆっくり読み進めてください,0.070175,,対象外,False,False,0.183019,-23.64,362.5,,
voicevox,n03,slow_explanatory,11.456,1.845789,0.16112,まず設定画面を開きます。次に音声モデルを選択してください。最後に保存ボタンを押せば設定は完了です。,0.039216,,対象外,False,False,0.167539,-24.379,325.0,,
voicevox,e01,cheerful,7.093333,1.354903,0.191011,やった。次に完成したよ。思っていたより、ずっといい出来になったね。,0.088235,,対象外,False,False,0.346479,-29.647,437.5,,
voicevox,e02,sad,4.810667,0.787419,0.163682,そうなんだ、もう会えないと思うと、やっぱり少し寂しいね,0.071429,,対象外,False,False,0.20332,-24.905,275.0,,
voicevox,e03,angry,5.973333,0.941194,0.157566,それは違うよ 約束したことなかったことにはできないでしょ,0.15625,,対象外,False,False,0.270903,-28.277,475.0,,
voicevox,e04,energetic,6.272,0.999042,0.159286,さあ、はじめよう。 準備はできてる? 今日は一気に最後までやってみよう,0.121212,,対象外,False,False,0.270701,-29.462,387.5,,
voicevox,e05,whisper_or_soft,5.173333,0.824887,0.15945,小さな声で話すね、みんなが眠っているから起こさないようにしよう,0.090909,,対象外,False,False,0.146718,-26.69,225.0,,
voicevox,e06,fast_excited,6.570667,1.011674,0.153968,聞いて聞いて、すごいことがあったんだ。さっき結果が出て、全部うまくいったんだよ。,0.05,,対象外,False,False,0.328267,-28.755,400.0,,
voicevox,p01,neutral,3.498667,0.668159,0.190975,今日は一日中資料を整理していました,0.105263,いちにちじゅう,不合格,True,False,0.171429,-24.997,50.0,,
voicevox,p02,neutral,3.808,0.710621,0.186613,来月1日に新しいサービスを開始します,0.15,ついたち,不合格,True,False,0.146597,-24.058,337.5,,
voicevox,p03,neutral,4.405333,0.79265,0.17993,生物学の研究者が新しい論文を発表しました,0.090909,せいぶつがく,不合格,True,False,0.149321,-23.656,237.5,,
voicevox,p04,neutral,4.170667,0.776826,0.186259,この生物は痛みやすいので冷蔵庫に入れてください,0.12,なまもの,要確認,True,True,0.181818,-23.015,250.0,,
voicevox,p05,neutral,3.882667,0.709187,0.182655,国内の市場規模は前年より大きくなりました,0.090909,しじょう,不合格,True,False,0.14359,-23.844,250.0,,
voicevox,p06,neutral,3.466667,0.656198,0.189288,朝、市場で新鮮な魚を買いました,0.0625,いちば,合格,True,False,0.189655,-25.501,275.0,,
voicevox,p07,neutral,2.976,0.587878,0.19754,多いた県には温泉地が数多くあります,0.235294,おおいたけん,不合格,True,False,0.060403,-23.458,350.0,,
voicevox,p08,neutral,2.869333,0.574385,0.200181,薬を飲んだらだいぶ良くなりました,0.294118,だいぶ,合格,True,False,0.208333,-24.241,100.0,,
voicevox,p09,neutral,3.029333,0.512616,0.169217,東京都中央区の日本橋へ向かいます,0.058824,にほんばし,合格,False,False,0.111842,-22.596,212.5,,
voicevox,p10,neutral,3.04,0.598501,0.196875,大阪市何枠の日本橋を歩きました,0.235294,にっぽんばし,合格,True,False,0.125,-23.777,237.5,,
voicevox,p11,neutral,2.4,0.515793,0.214914,ご基礎域で地下鉄を乗り換えます。,0.25,ごきそ,不合格,True,False,0.125,-24.523,325.0,,
voicevox,p12,neutral,3.338667,0.642932,0.192571,新たま橋駅の改札前で待ち合わせましょう,0.157895,あらたまばし,不合格,True,False,0.083832,-21.916,337.5,,
voicevox,p13,neutral,2.869333,0.488242,0.170159,衛生駅から名古屋駅までは近いです,0.117647,さこう,要確認,False,True,0.104167,-24.682,337.5,,
voicevox,m01,neutral,4.405333,0.671028,0.152322,2026年9月6日の午後2時30分に開始します,0.041667,,対象外,False,False,0.081448,-23.89,287.5,,
voicevox,m02,neutral,6.336,0.909617,0.143563,成功率は98.5%で、前回より3.2ポイント改善しました。,0.151515,,対象外,False,False,0.135647,-24.052,187.5,,
voicevox,m03,neutral,6.229333,0.884037,0.141915,FPIからJSONを受け取り、GPUでTTSモデルを実行します。,0.03125,,対象外,False,False,0.108974,-23.576,100.0,,
voicevox,m04,neutral,6.485333,0.953699,0.147055,ギットハブのあるADMEとパイソン 3.12の環境を確認してください,0.405405,,対象外,False,False,0.150769,-23.003,187.5,,
voicevox,q01,neutral,9.226667,1.395275,0.151222,結論は3つです。第一に、精度、第二に、自然さ、そして第三に、運用のしやすさです。,0.075,,対象外,False,False,0.231602,-25.952,237.5,,
voicevox,q02,neutral,4.032,0.629397,0.1561,本当に?それならもう一度だけ試してみよう,0.285714,,対象外,False,False,0.178218,-24.581,100.0,,
voicevox,q03,neutral,4.106667,0.622217,0.151514,注意してください。ここから先は元に戻せません。,0.12,,対象外,False,False,0.184466,-24.88,350.0,,
voicevox,l01,neutral,209.344,38.325871,0.183076,音声防声システムを実運用へ導入する際は、モデルの品質だけでなく、入力処理、再現性、監視、障害対応までを一つの流れとして設計する必要があります。まず、原稿を保存する形式を決めます。原文、読み、和射、スタイル、生成時刻、モデルの識別紙を記録すると、後から同じ音声を作り直しやすくなります。漢字の読みが文略で変わる日本語では、TTSへ渡す前に自主や携帯素解析を使い、必要なら発話用の金元項を別に用意します。原文を変更せず、ローインプットとエフェクティブインプットを分けて保存することが重要です。次に、音声ファイルの形式を統一します。サンプリング周波数、チャンネル数、リットシンド、無音の扱いを固定し、保存前に検査します。長い文章では途中切断、同じくの反復、極端な無音、音量の崩れ、速度の急変が起きることがあるため、波形得看ごとの特徴量を自動的に確認します。生成時間はリアルタイム製の指標ではなく、バッチ処理の容量計画に使います。例えば1時間分の原稿をやかんに処理するなら、平均の実時間比と失敗率から必要な並列数を見積もれます。ただし、GPUメモリが足りない状態で並列化すると、帰って採指向が増えます。まず一つのジョブを安定させ、ピークVRAMとピークRAMを図ってから同時実行数を増やします。評価は、生成音声をローカルSTTへ戻すラウンド、トリップだけで完了させてはいけません。STTは文略を補正して、誤った発音でも正しい感じを出す可能性があります。そのため、平仮名または音噌を出力する認識器、音噌アラインメント、エンジンが返す読み情報などを組み合わせ、根拠の種類を明記します。評価機動士が位置しない場合は、人間の確認が必要です。全県市長は避け、機械判定が不安定な代表例だけを、Human Reviewへ回します。表現力については、Neutral、Shareful、Sat、Angry、Carm、Energetic、Whisper、OA、Soft、Slow、Explanatory、Fast、Excitedという共通意等各エンジンの和射、スタイル、速度、音量、欲用、自然言語指示へ対応を付けます。完全に同じ表現にはならないため、どのパラメータイ変換したかを保存します。自然差の推定器を使う場合も、推定MOSを人間のMOSと混同せず、モデル名とバージョンを記録します。最後に、ライセンスをコード、モデル、生成音声に分けて確認します。公開リポジトリにはモデル本体、巨大キャッシュ、全量音声を入れず、取得元、固定バージョン、発種、利用条件、必要なクレジットだけを残します。これらを守ることで品質を比較できるだけでなく、後から結果を再現し、問題が起きた時に原因を追跡できるベンチマークになります。,0.108696,,対象外,False,False,0.164024,-24.048,412.5,,
